# data from figures in: G. Petrillo, "Online processing of the large area SiPM detector signals for the DarkSide20k experiment"

# figure 7.25

# VOV = 5.5
# X	Y
1.0	58.0
2.0	12.0
# overflow
3.0	3.0

# VOV = 7.5
# X	Y
1.0	211.0
2.0	39.0
3.0	13.0
4.0	9.0
# overflow
5.0	5.0

# VOV = 9.5
# X	Y
1.0	93.0
2.0	42.0
3.0	23.0
4.0	13.0
5.0	3.0
6.0	3.0
7.0	3.0
# overflow
8.0	6.0

# figure A.14, left column (same data as A.15)

# VOV = 5.5
# X	Y
0.0	31616.0
1.0	46985.0
2.0	43670.0
3.0	32117.0
4.0	20653.0
5.0	12177.0
6.0	6359.0
7.0	3291.0
8.0	1578.0
9.0	747.0
# overflow
10.0	582.0

# VOV = 7.5
# X	Y
0.0	26993.0
1.0	38400.0
2.0	37111.0
3.0	31001.0
4.0	23074.0
5.0	15696.0
6.0	10655.0
7.0	6748.0
8.0	4133.0
9.0	2455.0
10.0	1512.0
# overflow
11.0	2053.0

# VOV = 9.5
# X	Y
0.0	25200.0
1.0	28297.0
2.0	27585.0
3.0	24283.0
4.0	20679.0
5.0	17070.0
6.0	13617.0
7.0	10403.0
# overflow
8.0	32567.0

# figure A.16, left column

# VOV = 5.5
# X	Y
1.0	520.0
2.0	72.0
3.0	22.0
# overflow
4.0	5.0

# VOV = 7.5
# X	Y
1.0	504.0
2.0	132.0
3.0	36.0
4.0	19.0
5.0	7.0
6.0	1.0
# overflow
7.0	5.0

# VOV = 9.5
# X	Y
1.0	650.0
2.0	187.0
3.0	105.0
4.0	61.0
5.0	32.0
6.0	14.0
7.0	11.0
# overflow
8.0	12.0
